#EVENT 2022-08-17 07:00 - 2022-09-30 21:00 (calib 2022-09-06 14:00 - 2022-09-30 21:00)
#time	theta
2466000	0.142167
2469600	0.1419665
2473200	0.1418
2476800	0.1424335
2480400	0.1432335
2484000	0.1427665
2487600	0.143567
2491200	0.1437665
2494800	0.1439335
2498400	0.1437335
2502000	0.1439
2505600	0.143667
2509200	0.1438665
2512800	0.144
2516400	0.144
2520000	0.1458335
2523600	0.163383
2527200	0.1740835
2530800	0.178
2534400	0.1805
2538000	0.1819
2541600	0.181833
2545200	0.18365
2548800	0.1835335
2552400	0.184267
2556000	0.1857335
2559600	0.1849
2563200	0.1841
2566800	0.184
2570400	0.184
2574000	0.184
2577600	0.184
2581200	0.1842
2584800	0.1852
2588400	0.1861
2592000	0.18685
2595600	0.186817
2599200	0.1866
2602800	0.18655
2606400	0.1848
2610000	0.1849335
2613600	0.185
2617200	0.185
2620800	0.1836835
2624400	0.183
2628000	0.1832165
2631600	0.184117
2635200	0.18465
2638800	0.185317
2642400	0.185917
2646000	0.1859
2649600	0.1859335
2653200	0.1855665
2656800	0.18545
2660400	0.1848165
2664000	0.1849665
2667600	0.1835665
2671200	0.1829665
2674800	0.18295
2678400	0.183017
2682000	0.183
2685600	0.1829835
2689200	0.182933
2692800	0.182867
2696400	0.1832665
2700000	0.18495
2703600	0.184317
2707200	0.1841665
2710800	0.1852665
2714400	0.1849665
2718000	0.1865665
2721600	0.18545
2725200	0.186583
2728800	0.186067
2732400	0.187967
2736000	0.1880165
2739600	0.1880165
2743200	0.1881665
2746800	0.1883665
2750400	0.1880335
2754000	0.187583
2757600	0.18895
2761200	0.18995
2764800	0.19
2768400	0.19
2772000	0.19
2775600	0.19
2779200	0.190167
2782800	0.1895665
2786400	0.188733
2790000	0.188
2793600	0.1875
2797200	0.18825
2800800	0.1906335
2804400	0.1893335
2808000	0.1890665
2811600	0.190367
2815200	0.19205
2818800	0.1918665
2822400	0.1922165
2826000	0.19215
2829600	0.1930835
2833200	0.1940335
2836800	0.193367
2840400	0.195417
2844000	0.1955835
2847600	0.196983
2851200	0.196883
2854800	0.196117
2858400	0.198
2862000	0.1980665
2865600	0.2001165
2869200	0.2005165
2872800	0.2008
2876400	0.2001835
2880000	0.201167
2883600	0.200683
2887200	0.2023835
2890800	0.203683
2894400	0.2036165
2898000	0.2052335
2901600	0.2050165
2905200	0.2070835
2908800	0.2076
2912400	0.2076
2916000	0.207383
2919600	0.2088835
2923200	0.2083335
2926800	0.2099165
2930400	0.2085665
2934000	0.210783
2937600	0.211
2941200	0.21125
2944800	0.2128165
2948400	0.2122665
2952000	0.2119665
2955600	0.211967
2959200	0.21205
2962800	0.2117165
2966400	0.2119165
2970000	0.2132
2973600	0.214333
2977200	0.2147
2980800	0.2140335
2984400	0.213017
2988000	0.2117665
2991600	0.2112665
2995200	0.2128
2998800	0.2141335
3002400	0.2148
3006000	0.2148665
3009600	0.215
3013200	0.215
3016800	0.2149835
3020400	0.2147665
3024000	0.2143335
3027600	0.2138665
3031200	0.2138
3034800	0.21385
3038400	0.215383
3042000	0.213733
3045600	0.2121165
3049200	0.2128335
